Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
The Elder Scrolls IV: Oblivion Remastered,Xbox Series X|S,22/04/2025,NA,Bethesda Softworks,Bethesda Game Studios,The Elder Scrolls,Action RPG,,,The Elder Scrolls IV: Oblivion Remastered,The Elder Scrolls IV: Oblivion Remastered,,,,The Elder Scrolls IV: Oblivion Remastered,,,,,,,,
Assassin's Creed Shadows,PlayStation 5,20/03/2025,NA,Ubisoft,Ubisoft Quebec,Assassin's Creed,Action Adventure,,,Assassin's Creed Shadows,Assassin's Creed Shadows,,,,Assassin's Creed Shadows,,,Assassin's Creed: Shadows,,,,,
Assassin's Creed Nexus VR,Oculus Quest,16/11/2023,NA,Ubisoft,Red Storm Entertainment,Assassin's Creed,Action Adventure,,,,Assassin's Creed Nexus VR,,,,Assassin's Creed Nexus VR,,,,,,,,
Trine 4: The Nightmare Prince,PC,08/10/2019,NA,Modus Games,Frozenbyte,Trine,Puzzle Platformer,,,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,,,Trine 4: The Nightmare Prince,,,,,Trine 4: The Nightmare Prince,,,
Final Fantasy Dimensions,iOS,31/08/2012,NA,Square Enix,Matrix Software,Final Fantasy,Turn-Based RPG,,,Final Fantasy Dimensions,Final Fantasy Dimensions,Final Fantasy Dimensions,,,Final Fantasy Dimensions,,,,,,,,
Mass Effect Legendary Edition,PlayStation 4,14/05/2021,NA,Electronic Arts,BioWare,Mass Effect,Action RPG,,,Mass Effect Legendary Edition,Mass Effect Legendary Edition,,,,Mass Effect Legendary Edition,,,Mass Effect: Legendary Edition,,,,,
Command & Conquer: Remastered Collection,PC,05/06/2020,NA,Electronic Arts,Petroglyph,Command & Conquer,Real-Time Strategy,,,Command & Conquer Remastered Collection,Command & Conquer Remastered Collection,Command & Conquer: Remastered Collection,,,,,,,,Command & Conquer: Remastered Collection,,,
Borderlands Legendary Collection,Nintendo Switch,29/05/2020,NA,2K Games,Gearbox Software,Borderlands,First-Person Shooter,,,Borderlands Legendary Collection,Borderlands Legendary Collection,,,,Borderlands Legendary Collection,,,Borderlands: Legendary Collection,,Borderlands Legendary Collection,,,
The Walking Dead: Saints & Sinners,PC,23/01/2020,NA,Skydance Interactive,Skydance Interactive,The Walking Dead,First-Person Shooter,,,The Walking Dead: Saints & Sinners,The Walking Dead: Saints & Sinners,The Walking Dead: Saints & Sinners,,,The Walking Dead: Saints & Sinners,,,,,,,,
Fire Emblem Fates: Conquest,Nintendo 3DS,19/02/2016,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,Fire Emblem Fates: Conquest,Fire Emblem Fates: Conquest,Fire Emblem Fates: Conquest,,,,,,Fire Emblem Fates: Conquest,,,,,
Helldivers,PC,07/12/2015,NA,Sony Computer Entertainment,Arrowhead Game Studios,,Shooter,,,Helldivers,Helldivers,Helldivers,,,Helldivers,,,,,HELLDIVERS,,,
Alien: Isolation,PC,07/10/2014,NA,Sega,Creative Assembly,Alien,Survival Horror,,,Alien: Isolation,Alien: Isolation,Alien: Isolation,,,,,,,,,,,
Mercenary Kings,PC,25/03/2014,NA,Tribute Games,Tribute Games,,Shooter,,,Mercenary Kings,Mercenary Kings,Mercenary Kings,,,Mercenary Kings,,Mercenary Kings,,,Mercenary Kings,,,
Shin Megami Tensei IV,Nintendo 3DS,16/07/2013,NA,Atlus USA,Atlus,Megami Tensei,Turn-Based RPG,,,Shin Megami Tensei IV,Shin Megami Tensei IV,Shin Megami Tensei IV,,,Shin Megami Tensei IV,,Shin Megami Tensei IV,Shin Megami Tensei IV,,,,,
Kokuga,Nintendo 3DS,27/06/2013,NA,G.rev,G.rev,,Twin-Stick Shooter,,,Kokuga,Kokuga,Kokuga,,,Kokuga,,,,,,,,
New Super Mario Bros. U,Nintendo Wii U,18/11/2012,NA,Nintendo,Nintendo EAD,Mario,Side-Scrolling Platformer,,,New Super Mario Bros. U,New Super Mario Bros. U,New Super Mario Bros. U,,,New Super Mario Bros. U,,New Super Mario Bros. U,New Super Mario Bros. U,,New Super Mario Bros. U,,,
Super Meat Boy,Xbox 360,20/10/2010,NA,Team Meat,Team Meat,Meat Boy,Side-Scrolling Platformer,,,Super Meat Boy,Super Meat Boy,Super Meat Boy,,,,,,,,,,,
Persona 3 Reload,PlayStation 5,02/02/2024,NA,Sega,P-Studio,Megami Tensei,Turn-Based RPG,,,,Persona 3 Reload,,,,Persona 3 Reload,,,Persona 3 Reload,,,,,
Star Ocean: The Divine Force,PlayStation 5,27/10/2022,NA,Square Enix,tri-Ace,Star Ocean,Action RPG,,,,Star Ocean: The Divine Force,Star Ocean: The Divine Force,,,Star Ocean: The Divine Force,,,Star Ocean: The Divine Force,,,,,
Chrono Cross: The Radical Dreamers Edition,Nintendo Switch,07/04/2022,AS,Square Enix,Square Enix,Chrono,Turn-Based RPG,,,Chrono Cross: The Radical Dreamers Edition,,Chrono Cross: The Radical Dreamers Edition,,,Chrono Cross,,,Chrono Cross: The Radical Dreamers Edition,,,,,
Sifu,PlayStation 5,08/02/2022,NA,Sloclap,Sloclap,,Beat 'em Up,,,Sifu,SIFU,Sifu,,,,,,Sifu [Vengeance Edition],,,,,
Collection of SaGa: Final Fantasy Legend,PC,21/10/2021,NA,Square Enix,Square Enix,SaGa,Turn-Based RPG,,,Collection of SaGa: Final Fantasy Legend,,,,,,,,,,,,,
Moero Chronicle,PC,16/08/2017,NA,Idea Factory International,Compile Heart,Genkai Tokki,Dungeon Crawler,,,Moero Chronicle,Moero Chronicle,Moero Chronicle,,,Moero Chronicle,,,,,,,,
StarCraft: Remastered,PC,14/08/2017,NA,Blizzard Entertainment,Blizzard Entertainment,StarCraft,Real-Time Strategy,,,StarCraft: Remastered,Starcraft Remastered,StarCraft: Remastered,,,StarCraft: Remastered,,,,,,,,
Divinity: Original Sin,PC,30/06/2014,NA,Larian Studios,Larian Studios,Divinity,Action RPG,,,Divinity: Original Sin,Divinity: Original Sin,Divinity: Original Sin,,,Divinity: Original Sin,,Divinity: Original Sin,,,Divinity: Original Sin,,,
The Ico & Shadow of the Colossus Collection,PlayStation 3,27/09/2011,NA,Sony Computer Entertainment,SIE Japan Studio,,Action Adventure,,,The Ico & Shadow of the Colossus Collection,The ICO & Shadow of the Colossus Collection,The Ico & Shadow of the Colossus Collection,,,The Ico & Shadow of the Colossus Collection,,,ICO & Shadow of the Colossus Collection,,,,,
Shin Megami Tensei: Persona 3 FES,PlayStation 2,22/04/2008,NA,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,Persona 3 FES,Shin Megami Tensei: Persona 3 FES,Shin Megami Tensei: Persona 3 FES,,,Shin Megami Tensei: Persona 3 FES,,,,,,,,
Xenosaga Episode I: Der Wille zur Macht,PlayStation 2,25/02/2003,NA,Namco,Monolith Soft,Xeno,Turn-Based RPG,,,Xenosaga Episode I: Der Wille zur Macht,Xenosaga Episode I: Der Wille zur Macht,,,,Xenosaga Episode I: Der Wille zur Macht,,Xenosaga Episode I: Der Wille zur Macht,,,,,,
Atlyss,PC,Early Access,NA,KisSoft,KisSoft,,Action Adventure,,,Atlyss,,,,,,,,,,,,,
Baldi's Basics Plus,PC,Early Access,NA,Basically Games,Basically Games,Baldi's Basics,Survival Horror,,,Baldi's Basics Plus,,,,,,,,,,,,,
Dimensional Slaughter,PC,Early Access,NA,"Bashir ""ManliestDev"" Kashalo","Bashir ""ManliestDev"" Kashalo",,First-Person Shooter,,,Dimensional Slaughter,,,,,,,,,,,,,
Eden Survivors,PC,Early Access,NA,Aeternum Game Studio,Aeternum Game Studio,,Roguelike,,,Eden Survivors,,,,,,,,,,,,,
Force Reboot,PC,Early Access,NA,In404,In404,,Roguelike,,,Force Reboot,,Force Reboot,,,,,,,,,,,
Gloomwood,PC,Early Access,NA,New Blood Interactive,Dillon Rogers,,Stealth Action,,,Gloomwood,,Gloomwood,,,,,,,,,,,
HYPERVIOLENT,PC,Early Access,NA,Fulqrum Publishing,Terminist Arcade,,First-Person Shooter,,,HyperViolent,,Hyperviolent,,,,,,,,,,,
Mars First Logistics,PC,Early Access,NA,Shape Shop,Shape Shop,,Simulation,,,Mars First Logistics,,,,,,,,,,Mars First Logistics,,,
One Lonely Outpost,PC,Early Access,NA,indie.io,indie.io,,Simulation,,,One Lonely Outpost,,One Lonely Outpost,,,,,,,,,,,
Re:|THM - once upon a time,PC,Early Access,NA,Boyagers Games,Boyagers Games,,Rhythm,,,Rethm: Once Upon a Time,,,,,,,,,,,,,
Repetendium,PC,Early Access,NA,Bearlex Games,Bearlex Games,,Roguelike,,,Repetendium,,Repetendium,,,,,,,,,,,
